SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median
NLA06608-0001,48.9790286,-114.0218399,0.63,151,6,25.16666667
NLA06608-0002,33.036064,-79.9837905,13.855,582,29,20.31186869
NLA06608-0003,28.0477421,-97.8598661,5.935,790.5,46.5,17.01139535
NLA06608-0004,37.4166201,-108.4045832,7.93,470,32,16.03381643
NLA06608-0005,43.9292093,-114.8403862,1.42,76.5,3.5,21.95833334
NLA06608-0006,41.6831462,-73.1465177,3.055,203.5,5.5,41.01785715
NLA06608-0007,45.5806455,-92.040018,6.6,508,7.5,68.16964286
NLA06608-0008,41.292111,-93.5904049,7.365,1163,72.5,15.72008056
NLA06608-0010,42.6182301,-83.5058877,4.745,479,10,47.9
NLA06608-0012,35.9907882,-96.8717873,7.075,1039,150.5,6.930640447
NLA06608-0013,39.9742803,-74.5625512,4.6,324,24,13.45714286
NLA06608-0014,47.8349274,-100.5756807,41.075,4301.5,175,24.58
NLA06608-0015,33.0071076,-107.2747938,3.86,446.5,103.5,4.314126569
NLA06608-0016,41.0302522,-100.7797567,4.59,597,22.5,49.85897436
NLA06608-0019,46.3668879,-99.5118588,47.795,6812.5,1088.5,6.789138033
NLA06608-0020,39.4081784,-87.8138083,4.87,535.5,25,21.73333334
NLA06608-0021,42.7719197,-77.3095481,2.81,426.5,9,48.9025974
NLA06608-0023,31.1484917,-97.745332,4.29,455.5,18,26.25
NLA06608-0024,32.1220497,-95.4884341,9.025,901.5,32,28.54433498
NLA06608-0025,35.2013214,-81.3457308,3.28,146,7,21.875
NLA06608-0029,38.7560105,-75.2150379,4.815,2126,204.5,10.88661468
NLA06608-0031,39.7764536,-81.5174519,3.91,411,28,14.89583334
NLA06608-0033,47.3110836,-121.2990598,10.445,637.5,49.5,13.10634329
NLA06608-0036,37.477354,-88.3273792,4.22,209.5,8.5,24.51388889
NLA06608-0037,41.6969929,-73.3639855,3.305,288.5,14,20.60714286
NLA06608-0038,44.7975912,-71.8697174,3.305,135.5,3.5,38.58333334
NLA06608-0041,38.2269409,-80.8540552,1.415,423,1,423
NLA06608-0042,44.4582352,-107.0403753,3.99,180,10,21.8
NLA06608-0043,41.553395,-85.4442417,7.235,679.5,10,68.28787879
NLA06608-0044,42.4048448,-101.7024805,16.8,5424.5,562,9.862187941
NLA06608-0045,37.2932049,-77.8898611,4.655,539,57,9.583333334
NLA06608-0048,36.7872968,-89.1757255,4.835,888.5,97.5,9.458172457
NLA06608-0049,45.0623267,-117.1533553,1.88,256,15,17.06666667
NLA06608-0050,43.4460179,-71.8086866,5.635,351,17,20.55208334
NLA06608-0053,43.558193,-73.4396072,2.84,260.5,24,11.47822142
NLA06608-0057,34.9618921,-80.5168614,9.78,1347.5,215,6.242145578
NLA06608-0061,34.2455815,-113.5793644,6.325,521.5,17.5,30.22039474
NLA06608-0062,47.3206799,-99.7462943,29.01,2823.5,136,21.04320176
NLA06608-0064,48.8940613,-112.1680165,35.44,3514.5,1689,2.198211856
NLA06608-0065,48.9624338,-115.116608,1.35,63,2,44.66666667
NLA06608-0066,39.7685143,-79.3808178,1.77,619.5,6.5,95.33333334
NLA06608-0068,37.8244761,-107.8853911,0.895,149.5,1,149.5
NLA06608-0069,28.6373595,-81.137597,15.255,595.5,42,13.95128205
NLA06608-0071,31.6668399,-91.5091693,8.17,2354.5,402.5,5.848656163
NLA06608-0072,32.2376622,-98.405152,9.26,1994.5,175,11.38868208
NLA06608-0073,39.5247703,-118.878391,20.475,1402.5,4772,0.29259388
NLA06608-0076,39.4144129,-94.4979306,5.3,573,28,20.17708334
NLA06608-0077,40.9270469,-74.5338826,7.105,1545.5,133.5,11.69476479
NLA06608-0078,48.1778112,-100.2942095,49.69,4520.5,122,37.33183551
NLA06608-0079,39.9858551,-107.2317809,1.745,102.5,5.5,19.83928572
NLA06608-0080,34.1200351,-91.561052,5.375,1001.5,106.5,9.412743363
NLA06608-0081,48.2261203,-122.1241675,7.99,783.5,22.5,34.79743083
